Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,1538,3.0,3,,,,,,,,,,
,,,,,1542,4.0,4,,,,,,,,,,
,,,,,1546,4.0,4,,,,,,,,,,
,,,,,1552,6.0,6,,,,,,,,,,
,,,,,1555,3.0,3,,,,,,,,,,
,,,,,1560,5.0,5,,,,,,,,,,
,,,,,1566,6.0,6,,,,,,,,,,
,,,,,1594,28.0,28,,,,,,,,,,
,,,,,1601,7.0,7,,,,,,,,,,
,,,,,1608,7.0,7,,,,,,,,,,
,,,,,1613,5.0,5,,,,,,,,,,
,,,,,1618,5.0,5,,,,,,,,,,
,,,,,1623,5.0,5,,,,,,,,,,
,,,,,1627,4.0,4,,,,,,,,,,
,,,,,1634,7.0,7,,,,,,,,,,
,,,,,1638,4.0,4,,,,,,,,,,
,,,,,1645,7.0,7,,,,,,,,,,
,,,,,1651,6.0,6,,,,,,,,,,
,,,,,1656,5.0,5,,,,,,,,,,
,,,,,1661,5.0,5,,,,,,,,,,
,,,,,1665,4.0,4,,,,,,,,,,
,,,,,1672,7.0,7,,,,,,,,,,
,,,,,1683,11.0,11,,,,,,,,,,
,,,,,1687,4.0,4,,,,,,,,,,
,,,,,1695,8.0,8,,,,,,,,,,
,,,,,1700,5.0,5,,,,,,,,,,
,,,,,1705,5.0,5,,,,,,,,,,
,,,,,1715,10.0,10,,,,,,,,,,
,,,,,1722,7.0,7,,,,,,,,,,
,,,,,1728,6.0,6,,,,,,,,,,
,,,,,1732,4.0,4,,,,,,,,,,
,,,,,1736,4.0,4,,,,,,,,,,
,,,,,1742,6.0,6,,,,,,,,,,
,,,,,1748,6.0,6,,,,,,,,,,
,,,,,1766,18.0,18,,,,,,,,,,
,,,,,1771,5.0,5,,,,,,,,,,
,,,,,1777,6.0,6,,,,,,,,,,
,,,,,1781,4.0,4,,,,,,,,,,
,,,,,1784,3.0,3,,,,,,,,,,
,,,,,1793,9.0,9,,,,,,,,,,
,,,,,1796,3.0,3,,,,,,,,,,
,,,,,1799,3.0,3,,,,,,,,,,
,,,,,1808,9.0,9,,,,,,,,,,
,,,,,1814,6.0,6,,,,,,,,,,
,,,,,1822,8.0,8,,,,,,,,,,
,,,,,1826,4.0,4,,,,,,,,,,
,,,,,1829,3.0,3,,,,,,,,,,
,,,,,1840,11.0,11,,,,,,,,,,
,,,,,1847,7.0,7,,,,,,,,,,
,,,,,1854,7.0,7,,,,,,,,,,
,,,,,1874,20.0,20,,,,,,,,,,
,,,,,1880,6.0,6,,,,,,,,,,
