Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4591,12.2843,14,,,,,,,,
,,,,,4616,10.025892,25,,,,,,,,
,,,,,4639,15.549267,23,,,,,,,,
,,,,,4659,10.441041,20,,,,,,,,
,,,,,4675,6.949327,16,,,,,,,,
,,,,,4685,6.1338086,10,,,,,,,,
,,,,,4699,10.547973,14,,,,,,,,
,,,,,4712,4.5713973,13,,,,,,,,
,,,,,4730,15.290934,18,,,,,,,,
,,,,,4781,87.24174,51,,,,,,,,
,,,,,4806,30.234661,25,,,,,,,,
,,,,,4825,10.327145,19,,,,,,,,
,,,,,4843,17.882133,18,,,,,,,,
,,,,,4858,7.841722,15,,,,,,,,
,,,,,4892,32.31237,34,,,,,,,,
,,,,,4909,15.083771,17,,,,,,,,
,,,,,4921,8.745387,12,,,,,,,,
,,,,,4970,65.67712,49,,,,,,,,
,,,,,4993,11.355465,23,,,,,,,,
18.744562,8.818668,38.927284,10.435075,22.7,5000,,,,,,,,,,
,,,,,5003,7.747795,10,,,,,,,,
,,,,,5033,14.367098,30,,,,,,,,
,,,,,5056,25.329725,23,,,,,,,,
,,,,,5066,7.507787,10,,,,,,,,
,,,,,5079,11.509625,13,,,,,,,,
,,,,,5103,15.380416,24,,,,,,,,
,,,,,5125,16.778545,22,,,,,,,,
,,,,,5160,23.553673,35,,,,,,,,
,,,,,5180,15.103753,20,,,,,,,,
,,,,,5217,11.687933,37,,,,,,,,
,,,,,5238,14.312088,21,,,,,,,,
,,,,,5256,10.44418,18,,,,,,,,
,,,,,5274,16.61949,18,,,,,,,,
,,,,,5295,19.016884,21,,,,,,,,
,,,,,5316,6.2912765,21,,,,,,,,
,,,,,5333,15.105269,17,,,,,,,,
,,,,,5345,9.489998,12,,,,,,,,
,,,,,5358,10.010267,13,,,,,,,,
,,,,,5399,29.293924,41,,,,,,,,
,,,,,5435,38.76607,36,,,,,,,,
,,,,,5454,19.06649,19,,,,,,,,
,,,,,5493,39.752552,39,,,,,,,,
,,,,,5509,16.806623,16,,,,,,,,
,,,,,5546,43.9867,37,,,,,,,,
,,,,,5564,17.906496,18,,,,,,,,
,,,,,5586,10.783843,22,,,,,,,,
,,,,,5603,15.109011,17,,,,,,,,
,,,,,5618,12.339351,15,,,,,,,,
,,,,,5631,11.380058,13,,,,,,,,
,,,,,5650,18.000528,19,,,,,,,,
,,,,,5665,11.132653,15,,,,,,,,
,,,,,5682,14.830323,17,,,,,,,,
,,,,,5697,13.968224,15,,,,,,,,
,,,,,5707,8.5986395,10,,,,,,,,
,,,,,5724,15.296921,17,,,,,,,,
,,,,,5754,37.209175,30,,,,,,,,
,,,,,5786,32.63642,32,,,,,,,,
,,,,,5810,11.534986,24,,,,,,,,
,,,,,5825,11.580677,15,,,,,,,,
,,,,,5842,13.158632,17,,,,,,,,
,,,,,5864,22.584776,22,,,,,,,,
,,,,,5883,20.763746,19,,,,,,,,
,,,,,5905,16.730467,22,,,,,,,,
,,,,,5930,32.251663,25,,,,,,,,
,,,,,5951,23.640097,21,,,,,,,,
,,,,,5980,21.769861,29,,,,,,,,
,,,,,6033,68.644394,53,,,,,,,,
,,,,,6049,13.560528,16,,,,,,,,
,,,,,6064,15.239132,15,,,,,,,,
,,,,,6096,20.355108,32,,,,,,,,
,,,,,6114,18.386047,18,,,,,,,,
,,,,,6142,15.855788,28,,,,,,,,
,,,,,6197,66.845245,55,,,,,,,,
,,,,,6213,10.734003,16,,,,,,,,
,,,,,6243,22.376755,30,,,,,,,,
,,,,,6362,172.0125,119,,,,,,,,
,,,,,6392,9.981139,30,,,,,,,,
,,,,,6422,35.82846,30,,,,,,,,
,,,,,6471,83.38911,49,,,,,,,,
,,,,,6496,29.912098,25,,,,,,,,
,,,,,6511,10.587037,15,,,,,,,,
,,,,,6548,46.813454,37,,,,,,,,
,,,,,6560,10.345466,12,,,,,,,,
,,,,,6599,36.857933,39,,,,,,,,
,,,,,6633,25.954775,34,,,,,,,,
,,,,,6690,64.32252,57,,,,,,,,
,,,,,6714,31.74455,24,,,,,,,,
,,,,,6746,35.365456,32,,,,,,,,
,,,,,6759,12.2903,13,,,,,,,,
,,,,,6774,12.573579,15,,,,,,,,
,,,,,6784,8.269627,10,,,,,,,,
,,,,,6795,8.882393,11,,,,,,,,
,,,,,6850,89.66674,55,,,,,,,,
,,,,,6862,8.684194,12,,,,,,,,
,,,,,6884,18.71301,22,,,,,,,,
,,,,,6898,13.26068,14,,,,,,,,
,,,,,6921,14.058394,23,,,,,,,,
,,,,,6936,16.298195,15,,,,,,,,
,,,,,6955,15.224402,19,,,,,,,,
,,,,,6968,14.008238,13,,,,,,,,
,,,,,6992,19.176743,24,,,,,,,,
,,,,,7023,17.360699,31,,,,,,,,
,,,,,7037,13.833458,14,,,,,,,,
,,,,,7053,10.115368,16,,,,,,,,
,,,,,7083,16.342348,30,,,,,,,,
,,,,,7105,20.360996,22,,,,,,,,
,,,,,7131,32.55644,26,,,,,,,,
,,,,,7140,5.6469307,9,,,,,,,,
,,,,,7160,14.519213,20,,,,,,,,
,,,,,7209,49.66232,49,,,,,,,,
,,,,,7301,188.09631,92,,,,,,,,
,,,,,7328,29.433733,27,,,,,,,,
,,,,,7354,25.632011,26,,,,,,,,
,,,,,7389,15.689598,35,,,,,,,,
,,,,,7400,9.002707,11,,,,,,,,
,,,,,7414,11.747249,14,,,,,,,,
,,,,,7429,8.958695,15,,,,,,,,
,,,,,7467,46.22849,38,,,,,,,,
,,,,,7496,16.899883,29,,,,,,,,
,,,,,7522,12.475728,26,,,,,,,,
,,,,,7539,16.352835,17,,,,,,,,
,,,,,7598,104.621765,59,,,,,,,,
,,,,,7632,34.574974,34,,,,,,,,
,,,,,7648,15.4252405,16,,,,,,,,
,,,,,7658,7.336917,10,,,,,,,,
,,,,,7676,16.16647,18,,,,,,,,
,,,,,7689,9.9927225,13,,,,,,,,
,,,,,7704,13.0183525,15,,,,,,,,
,,,,,7721,16.6258,17,,,,,,,,
,,,,,7747,14.491438,26,,,,,,,,
,,,,,7789,40.904186,42,,,,,,,,
,,,,,7841,60.64167,52,,,,,,,,
,,,,,7889,34.14083,48,,,,,,,,
,,,,,7901,9.9755,12,,,,,,,,
,,,,,7961,60.870216,60,,,,,,,,
,,,,,7983,12.107291,22,,,,,,,,
,,,,,8054,89.797195,71,,,,,,,,
,,,,,8079,20.710638,25,,,,,,,,
,,,,,8099,13.574545,20,,,,,,,,
,,,,,8127,22.42397,28,,,,,,,,
,,,,,8155,18.057962,28,,,,,,,,
,,,,,8165,7.4159575,10,,,,,,,,
,,,,,8195,30.080053,30,,,,,,,,
,,,,,8217,15.307609,22,,,,,,,,
,,,,,8233,14.16054,16,,,,,,,,
,,,,,8244,9.4747505,11,,,,,,,,
,,,,,8262,18.962158,18,,,,,,,,
,,,,,8275,9.044866,13,,,,,,,,
,,,,,8307,44.581284,32,,,,,,,,
,,,,,8324,16.95454,17,,,,,,,,
,,,,,8346,25.854948,22,,,,,,,,
,,,,,8361,13.802868,15,,,,,,,,
,,,,,8371,8.256554,10,,,,,,,,
,,,,,8387,17.006615,16,,,,,,,,
,,,,,8409,23.267204,22,,,,,,,,
,,,,,8426,16.422783,17,,,,,,,,
,,,,,8440,12.131823,14,,,,,,,,
,,,,,8497,68.59226,57,,,,,,,,
,,,,,8522,20.156355,25,,,,,,,,
