Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,4940,34.0,34,,,,,,
,,,,,4956,16.0,16,,,,,,
185.0,8.966605,201.0,173.0,185.0,5000,,,0.12380092591047287,3.741480827331543,3.758777618408203,0.2106614112854004,0.85,0.0005
,,,,,5025,69.0,69,,,,,,
,,,,,5066,41.0,41,,,,,,
,,,,,5084,18.0,18,,,,,,
,,,,,5111,27.0,27,,,,,,
,,,,,5134,23.0,23,,,,,,
,,,,,5156,22.0,22,,,,,,
,,,,,5174,18.0,18,,,,,,
,,,,,5186,12.0,12,,,,,,
,,,,,5226,40.0,40,,,,,,
,,,,,5251,25.0,25,,,,,,
,,,,,5267,16.0,16,,,,,,
,,,,,5305,38.0,38,,,,,,
,,,,,5329,24.0,24,,,,,,
,,,,,5370,41.0,41,,,,,,
,,,,,5388,18.0,18,,,,,,
,,,,,5441,53.0,53,,,,,,
,,,,,5459,18.0,18,,,,,,
,,,,,5469,10.0,10,,,,,,
,,,,,5478,9.0,9,,,,,,
,,,,,5501,23.0,23,,,,,,
,,,,,5538,37.0,37,,,,,,
,,,,,5592,54.0,54,,,,,,
,,,,,5612,20.0,20,,,,,,
,,,,,5661,49.0,49,,,,,,
,,,,,5673,12.0,12,,,,,,
,,,,,5702,29.0,29,,,,,,
,,,,,5715,13.0,13,,,,,,
,,,,,5733,18.0,18,,,,,,
,,,,,5756,23.0,23,,,,,,
,,,,,5767,11.0,11,,,,,,
,,,,,5779,12.0,12,,,,,,
,,,,,5807,28.0,28,,,,,,
,,,,,5878,71.0,71,,,,,,
,,,,,5924,46.0,46,,,,,,
,,,,,5948,24.0,24,,,,,,
,,,,,6000,,,0.134323388338089,4.536940097808838,4.550746917724609,0.3061564266681671,0.82,0.0005
,,,,,6015,67.0,67,,,,,,
,,,,,6057,42.0,42,,,,,,
,,,,,6090,33.0,33,,,,,,
,,,,,6109,19.0,19,,,,,,
,,,,,6133,24.0,24,,,,,,
,,,,,6145,12.0,12,,,,,,
,,,,,6156,11.0,11,,,,,,
,,,,,6197,41.0,41,,,,,,
,,,,,6251,54.0,54,,,,,,
,,,,,6297,46.0,46,,,,,,
,,,,,6312,15.0,15,,,,,,
,,,,,6342,30.0,30,,,,,,
,,,,,6355,13.0,13,,,,,,
,,,,,6375,20.0,20,,,,,,
,,,,,6394,19.0,19,,,,,,
,,,,,6454,60.0,60,,,,,,
,,,,,6467,13.0,13,,,,,,
,,,,,6487,20.0,20,,,,,,
,,,,,6515,28.0,28,,,,,,
,,,,,6541,26.0,26,,,,,,
,,,,,6616,75.0,75,,,,,,
,,,,,6645,29.0,29,,,,,,
,,,,,6673,28.0,28,,,,,,
,,,,,6703,30.0,30,,,,,,
,,,,,6730,27.0,27,,,,,,
,,,,,6761,31.0,31,,,,,,
,,,,,6780,19.0,19,,,,,,
,,,,,6806,26.0,26,,,,,,
,,,,,6890,84.0,84,,,,,,
,,,,,6908,18.0,18,,,,,,
,,,,,6988,80.0,80,,,,,,
,,,,,7000,,,0.0514746755361557,5.466814994812012,5.467097282409668,0.23121467232704163,0.79,0.0005
,,,,,7030,42.0,42,,,,,,
,,,,,7076,46.0,46,,,,,,
,,,,,7104,28.0,28,,,,,,
,,,,,7124,20.0,20,,,,,,
,,,,,7151,27.0,27,,,,,,
,,,,,7217,66.0,66,,,,,,
,,,,,7234,17.0,17,,,,,,
,,,,,7254,20.0,20,,,,,,
,,,,,7323,69.0,69,,,,,,
,,,,,7401,78.0,78,,,,,,
,,,,,7427,26.0,26,,,,,,
,,,,,7448,21.0,21,,,,,,
,,,,,7480,32.0,32,,,,,,
212.3,41.451298,312.0,159.0,212.3,7500,,,0.10102090239524841,6.271349906921387,6.220268249511719,0.672579824924469,0.775,0.0005
,,,,,7505,25.0,25,,,,,,
,,,,,7537,32.0,32,,,,,,
,,,,,7551,14.0,14,,,,,,
,,,,,7593,42.0,42,,,,,,
,,,,,7659,66.0,66,,,,,,
,,,,,7702,43.0,43,,,,,,
,,,,,7772,70.0,70,,,,,,
,,,,,7805,33.0,33,,,,,,
,,,,,7816,11.0,11,,,,,,
,,,,,7862,46.0,46,,,,,,
,,,,,7891,29.0,29,,,,,,
,,,,,7903,12.0,12,,,,,,
,,,,,7916,13.0,13,,,,,,
,,,,,7937,21.0,21,,,,,,
,,,,,7989,52.0,52,,,,,,
,,,,,8000,,,0.04252612590789795,6.2643561363220215,6.243117809295654,0.24286411702632904,0.76,0.0005
,,,,,8002,13.0,13,,,,,,
,,,,,8019,17.0,17,,,,,,
,,,,,8060,41.0,41,,,,,,
