Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3352,4.0,4,,,,,,
,,,,,3365,13.0,13,,,,,,
,,,,,3386,21.0,21,,,,,,
,,,,,3390,4.0,4,,,,,,
,,,,,3394,4.0,4,,,,,,
,,,,,3405,11.0,11,,,,,,
,,,,,3410,5.0,5,,,,,,
,,,,,3413,3.0,3,,,,,,
,,,,,3423,10.0,10,,,,,,
,,,,,3439,16.0,16,,,,,,
,,,,,3442,3.0,3,,,,,,
,,,,,3449,7.0,7,,,,,,
,,,,,3457,8.0,8,,,,,,
,,,,,3463,6.0,6,,,,,,
,,,,,3467,4.0,4,,,,,,
,,,,,3473,6.0,6,,,,,,
,,,,,3479,6.0,6,,,,,,
,,,,,3484,5.0,5,,,,,,
,,,,,3489,5.0,5,,,,,,
,,,,,3495,6.0,6,,,,,,
,,,,,3513,18.0,18,,,,,,
,,,,,3518,5.0,5,,,,,,
,,,,,3526,8.0,8,,,,,,
,,,,,3529,3.0,3,,,,,,
,,,,,3535,6.0,6,,,,,,
,,,,,3538,3.0,3,,,,,,
,,,,,3543,5.0,5,,,,,,
,,,,,3552,9.0,9,,,,,,
,,,,,3560,8.0,8,,,,,,
,,,,,3564,4.0,4,,,,,,
,,,,,3573,9.0,9,,,,,,
,,,,,3595,22.0,22,,,,,,
,,,,,3602,7.0,7,,,,,,
,,,,,3606,4.0,4,,,,,,
,,,,,3617,11.0,11,,,,,,
,,,,,3627,10.0,10,,,,,,
,,,,,3630,3.0,3,,,,,,
,,,,,3641,11.0,11,,,,,,
,,,,,3645,4.0,4,,,,,,
,,,,,3650,5.0,5,,,,,,
,,,,,3653,3.0,3,,,,,,
,,,,,3660,7.0,7,,,,,,
,,,,,3667,7.0,7,,,,,,
,,,,,3675,8.0,8,,,,,,
,,,,,3689,14.0,14,,,,,,
,,,,,3694,5.0,5,,,,,,
,,,,,3698,4.0,4,,,,,,
,,,,,3701,3.0,3,,,,,,
,,,,,3707,6.0,6,,,,,,
,,,,,3711,4.0,4,,,,,,
,,,,,3715,4.0,4,,,,,,
,,,,,3721,6.0,6,,,,,,
,,,,,3724,3.0,3,,,,,,
,,,,,3727,3.0,3,,,,,,
,,,,,3741,14.0,14,,,,,,
,,,,,3746,5.0,5,,,,,,
,,,,,3753,7.0,7,,,,,,
,,,,,3765,12.0,12,,,,,,
,,,,,3772,7.0,7,,,,,,
,,,,,3781,9.0,9,,,,,,
,,,,,3787,6.0,6,,,,,,
,,,,,3793,6.0,6,,,,,,
,,,,,3796,3.0,3,,,,,,
,,,,,3801,5.0,5,,,,,,
,,,,,3812,11.0,11,,,,,,
,,,,,3818,6.0,6,,,,,,
,,,,,3827,9.0,9,,,,,,
,,,,,3833,6.0,6,,,,,,
,,,,,3839,6.0,6,,,,,,
,,,,,3859,20.0,20,,,,,,
,,,,,3864,5.0,5,,,,,,
,,,,,3874,10.0,10,,,,,,
,,,,,3890,16.0,16,,,,,,
,,,,,3897,7.0,7,,,,,,
,,,,,3900,3.0,3,,,,,,
,,,,,3904,4.0,4,,,,,,
,,,,,3907,3.0,3,,,,,,
,,,,,3913,6.0,6,,,,,,
,,,,,3923,10.0,10,,,,,,
,,,,,3928,5.0,5,,,,,,
,,,,,3935,7.0,7,,,,,,
,,,,,3940,5.0,5,,,,,,
,,,,,3945,5.0,5,,,,,,
,,,,,3957,12.0,12,,,,,,
,,,,,3961,4.0,4,,,,,,
,,,,,3975,14.0,14,,,,,,
,,,,,3979,4.0,4,,,,,,
,,,,,3983,4.0,4,,,,,,
,,,,,3992,9.0,9,,,,,,
,,,,,4000,8.0,8,,,,,,
,,,,,4004,4.0,4,,,,,,
,,,,,4007,3.0,3,,,,,,
,,,,,4015,8.0,8,,,,,,
,,,,,4021,6.0,6,,,,,,
,,,,,4032,11.0,11,,,,,,
,,,,,4036,4.0,4,,,,,,
,,,,,4052,16.0,16,,,,,,
,,,,,4055,3.0,3,,,,,,
,,,,,4061,6.0,6,,,,,,
,,,,,4073,12.0,12,,,,,,
,,,,,4079,6.0,6,,,,,,
,,,,,4085,6.0,6,,,,,,
,,,,,4096,11.0,11,,,,,,
,,,,,4101,5.0,5,,,,,,
,,,,,4107,6.0,6,,,,,,
,,,,,4114,7.0,7,,,,,,
,,,,,4117,3.0,3,,,,,,
,,,,,4126,9.0,9,,,,,,
,,,,,4143,17.0,17,,,,,,
,,,,,4146,3.0,3,,,,,,
,,,,,4150,4.0,4,,,,,,
,,,,,4165,15.0,15,,,,,,
,,,,,4168,3.0,3,,,,,,
,,,,,4172,4.0,4,,,,,,
,,,,,4176,4.0,4,,,,,,
,,,,,4187,11.0,11,,,,,,
,,,,,4192,5.0,5,,,,,,
,,,,,4198,6.0,6,,,,,,
,,,,,4202,4.0,4,,,,,,
,,,,,4207,5.0,5,,,,,,
,,,,,4216,9.0,9,,,,,,
,,,,,4221,5.0,5,,,,,,
,,,,,4229,8.0,8,,,,,,
,,,,,4239,10.0,10,,,,,,
,,,,,4242,3.0,3,,,,,,
,,,,,4247,5.0,5,,,,,,
,,,,,4253,6.0,6,,,,,,
,,,,,4256,3.0,3,,,,,,
,,,,,4260,4.0,4,,,,,,
,,,,,4265,5.0,5,,,,,,
,,,,,4270,5.0,5,,,,,,
,,,,,4275,5.0,5,,,,,,
,,,,,4279,4.0,4,,,,,,
,,,,,4289,10.0,10,,,,,,
,,,,,4294,5.0,5,,,,,,
,,,,,4297,3.0,3,,,,,,
,,,,,4301,4.0,4,,,,,,
,,,,,4305,4.0,4,,,,,,
,,,,,4309,4.0,4,,,,,,
,,,,,4326,17.0,17,,,,,,
,,,,,4331,5.0,5,,,,,,
,,,,,4339,8.0,8,,,,,,
,,,,,4347,8.0,8,,,,,,
,,,,,4352,5.0,5,,,,,,
,,,,,4356,4.0,4,,,,,,
,,,,,4363,7.0,7,,,,,,
,,,,,4377,14.0,14,,,,,,
,,,,,4393,16.0,16,,,,,,
,,,,,4398,5.0,5,,,,,,
,,,,,4401,3.0,3,,,,,,
,,,,,4405,4.0,4,,,,,,
,,,,,4410,5.0,5,,,,,,
,,,,,4415,5.0,5,,,,,,
,,,,,4418,3.0,3,,,,,,
,,,,,4424,6.0,6,,,,,,
,,,,,4433,9.0,9,,,,,,
,,,,,4440,7.0,7,,,,,,
,,,,,4446,6.0,6,,,,,,
,,,,,4456,10.0,10,,,,,,
,,,,,4463,7.0,7,,,,,,
,,,,,4491,28.0,28,,,,,,
,,,,,4494,3.0,3,,,,,,
,,,,,4499,5.0,5,,,,,,
,,,,,4507,8.0,8,,,,,,
,,,,,4510,3.0,3,,,,,,
,,,,,4514,4.0,4,,,,,,
,,,,,4525,11.0,11,,,,,,
,,,,,4528,3.0,3,,,,,,
,,,,,4536,8.0,8,,,,,,
,,,,,4539,3.0,3,,,,,,
,,,,,4544,5.0,5,,,,,,
,,,,,4550,6.0,6,,,,,,
,,,,,4554,4.0,4,,,,,,
,,,,,4558,4.0,4,,,,,,
,,,,,4563,5.0,5,,,,,,
,,,,,4568,5.0,5,,,,,,
,,,,,4585,17.0,17,,,,,,
