Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4100,6.9717484,15,,,,,,,,
,,,,,4110,6.643783,10,,,,,,,,
,,,,,4125,15.02485,15,,,,,,,,
,,,,,4144,17.903313,19,,,,,,,,
,,,,,4165,11.924896,21,,,,,,,,
,,,,,4181,11.573892,16,,,,,,,,
,,,,,4213,28.876163,32,,,,,,,,
,,,,,4229,16.968801,16,,,,,,,,
,,,,,4260,17.4149,31,,,,,,,,
,,,,,4282,26.328667,22,,,,,,,,
,,,,,4319,33.63677,37,,,,,,,,
,,,,,4359,56.929184,40,,,,,,,,
,,,,,4383,15.378121,24,,,,,,,,
,,,,,4417,19.780981,34,,,,,,,,
,,,,,4433,15.06514,16,,,,,,,,
,,,,,4449,12.553639,16,,,,,,,,
,,,,,4464,11.089481,15,,,,,,,,
,,,,,4496,27.55359,32,,,,,,,,
,,,,,4524,26.473928,28,,,,,,,,
,,,,,4534,4.1101217,10,,,,,,,,
,,,,,4546,10.921436,12,,,,,,,,
,,,,,4589,18.761297,43,,,,,,,,
,,,,,4606,10.668896,17,,,,,,,,
,,,,,4627,20.371668,21,,,,,,,,
,,,,,4650,23.888323,23,,,,,,,,
,,,,,4671,14.69075,21,,,,,,,,
,,,,,4699,8.298086,28,,,,,,,,
,,,,,4714,10.4717,15,,,,,,,,
,,,,,4739,24.199701,25,,,,,,,,
,,,,,4749,7.720049,10,,,,,,,,
,,,,,4763,8.644914,14,,,,,,,,
,,,,,4790,16.69901,27,,,,,,,,
,,,,,4799,5.943734,9,,,,,,,,
,,,,,4810,8.144261,11,,,,,,,,
,,,,,4824,9.815065,14,,,,,,,,
,,,,,4836,8.044622,12,,,,,,,,
,,,,,4850,11.828221,14,,,,,,,,
,,,,,4869,11.320748,19,,,,,,,,
,,,,,4894,15.432632,25,,,,,,,,
,,,,,4906,10.476144,12,,,,,,,,
,,,,,4920,9.855079,14,,,,,,,,
,,,,,4935,8.015538,15,,,,,,,,
,,,,,4950,10.396427,15,,,,,,,,
,,,,,4966,11.331882,16,,,,,,,,
,,,,,4989,26.74181,23,,,,,,,,
19.01824,9.658422,42.423244,9.270244,22.4,5000,,,,,,,,,,
,,,,,5007,11.077595,18,,,,,,,,
,,,,,5045,26.378288,38,,,,,,,,
,,,,,5067,18.912413,22,,,,,,,,
,,,,,5079,10.569124,12,,,,,,,,
,,,,,5100,13.70826,21,,,,,,,,
,,,,,5115,12.9636135,15,,,,,,,,
,,,,,5128,11.173202,13,,,,,,,,
,,,,,5163,23.087267,35,,,,,,,,
,,,,,5184,14.715933,21,,,,,,,,
,,,,,5222,14.339519,38,,,,,,,,
,,,,,5238,13.194428,16,,,,,,,,
