Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2139,3.0,3,,,,,,,,
,,,,,2148,9.0,9,,,,,,,,
,,,,,2154,6.0,6,,,,,,,,
,,,,,2161,7.0,7,,,,,,,,
,,,,,2166,5.0,5,,,,,,,,
,,,,,2172,6.0,6,,,,,,,,
,,,,,2176,4.0,4,,,,,,,,
,,,,,2184,8.0,8,,,,,,,,
,,,,,2194,10.0,10,,,,,,,,
,,,,,2197,3.0,3,,,,,,,,
,,,,,2201,4.0,4,,,,,,,,
,,,,,2209,8.0,8,,,,,,,,
,,,,,2216,7.0,7,,,,,,,,
,,,,,2223,7.0,7,,,,,,,,
,,,,,2229,6.0,6,,,,,,,,
,,,,,2233,4.0,4,,,,,,,,
,,,,,2238,5.0,5,,,,,,,,
,,,,,2243,5.0,5,,,,,,,,
,,,,,2254,11.0,11,,,,,,,,
,,,,,2260,6.0,6,,,,,,,,
,,,,,2264,4.0,4,,,,,,,,
,,,,,2268,4.0,4,,,,,,,,
,,,,,2271,3.0,3,,,,,,,,
,,,,,2276,5.0,5,,,,,,,,
,,,,,2282,6.0,6,,,,,,,,
,,,,,2286,4.0,4,,,,,,,,
,,,,,2292,6.0,6,,,,,,,,
,,,,,2300,8.0,8,,,,,,,,
,,,,,2312,12.0,12,,,,,,,,
,,,,,2316,4.0,4,,,,,,,,
,,,,,2329,13.0,13,,,,,,,,
,,,,,2332,3.0,3,,,,,,,,
,,,,,2335,3.0,3,,,,,,,,
,,,,,2338,3.0,3,,,,,,,,
,,,,,2341,3.0,3,,,,,,,,
,,,,,2346,5.0,5,,,,,,,,
,,,,,2349,3.0,3,,,,,,,,
,,,,,2358,9.0,9,,,,,,,,
,,,,,2361,3.0,3,,,,,,,,
,,,,,2374,13.0,13,,,,,,,,
,,,,,2378,4.0,4,,,,,,,,
,,,,,2382,4.0,4,,,,,,,,
,,,,,2385,3.0,3,,,,,,,,
,,,,,2394,9.0,9,,,,,,,,
,,,,,2398,4.0,4,,,,,,,,
,,,,,2405,7.0,7,,,,,,,,
,,,,,2408,3.0,3,,,,,,,,
,,,,,2416,8.0,8,,,,,,,,
,,,,,2422,6.0,6,,,,,,,,
,,,,,2427,5.0,5,,,,,,,,
,,,,,2434,7.0,7,,,,,,,,
,,,,,2438,4.0,4,,,,,,,,
,,,,,2445,7.0,7,,,,,,,,
,,,,,2458,13.0,13,,,,,,,,
,,,,,2465,7.0,7,,,,,,,,
,,,,,2485,20.0,20,,,,,,,,
