Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,28000,,,-41.07487106323242,0.5792786478996277,0.4636381268501282,40.23807144165039,40.181724548339844,0.0003,0.0003,0.1
,,,,,28999,1183.8411,1000,,,,,,,,
,,,,,29000,,,-45.93567657470703,0.44572362303733826,0.47598278522491455,45.02505111694336,44.99224853515625,0.0003,0.0003,0.1
,,,,,29999,1549.8197,1000,,,,,,,,
1114.6935,439.7722,1748.4475,377.0161,1000.0,30000,,,-53.18980026245117,0.2183654010295868,0.510957658290863,52.151466369628906,52.21858215332031,0.0003,0.0003,0.1
,,,,,30999,1799.7908,1000,,,,,,,,
,,,,,31000,,,-55.04990768432617,0.14927907288074493,0.454801470041275,53.984962463378906,54.06298065185547,0.0003,0.0003,0.1
,,,,,31999,1726.4778,1000,,,,,,,,
,,,,,32000,,,-61.03388595581055,-0.15724778175354004,0.6605523824691772,59.97191619873047,59.95679473876953,0.0003,0.0003,0.1
,,,,,32999,1940.0004,1000,,,,,,,,
,,,,,33000,,,-65.04017639160156,-0.10163538157939911,0.671251654624939,63.983314514160156,63.952030181884766,0.0003,0.0003,0.1
,,,,,33999,745.79254,1000,,,,,,,,
,,,,,34000,,,-68.52536010742188,-0.4768695533275604,0.6980375051498413,67.50713348388672,67.42103576660156,0.0003,0.0003,0.1
,,,,,34999,2139.3562,1000,,,,,,,,
2059.7236,207.55536,2167.667,1442.5334,1000.0,35000,,,-72.39667510986328,-0.45604175329208374,0.8633219599723816,71.46116638183594,71.4281005859375,0.0003,0.0003,0.1
,,,,,35999,2232.242,1000,,,,,,,,
,,,,,36000,,,-78.091064453125,-0.6858730316162109,0.6386139392852783,76.89268493652344,77.02841186523438,0.0003,0.0003,0.1
,,,,,36999,2256.1523,1000,,,,,,,,
,,,,,37000,,,-81.68434143066406,-0.815406322479248,0.9255170822143555,80.62191772460938,80.71207427978516,0.0003,0.0003,0.1
,,,,,37999,2320.0532,1000,,,,,,,,
