Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,28000,,,32.04721450805664,-6.986309051513672,-6.724853515625,54.15744400024414,0.832,0.003
,,,,,28028,-142.41368,108,,,,,,
,,,,,28092,-95.20939,64,,,,,,
,,,,,28187,-93.02986,95,,,,,,
,,,,,28257,-97.47814,70,,,,,,
,,,,,28329,-91.7963,72,,,,,,
,,,,,28404,-94.1263,75,,,,,,
,,,,,28481,-85.02074,77,,,,,,
,,,,,28597,-97.35242,116,,,,,,
,,,,,28707,-163.76564,110,,,,,,
,,,,,28771,-130.40929,64,,,,,,
,,,,,28902,-93.2072,131,,,,,,
,,,,,28983,-42.61255,81,,,,,,
,,,,,29000,,,90.34095764160156,-7.282033920288086,-5.636980056762695,68.56743621826172,0.8260000000000001,0.003
,,,,,29076,-90.10082,93,,,,,,
,,,,,29179,-85.13187,103,,,,,,
,,,,,29261,-81.42724,82,,,,,,
,,,,,29324,-56.276966,63,,,,,,
,,,,,29443,-107.69002,119,,,,,,
,,,,,29541,-83.59706,98,,,,,,
,,,,,29636,-81.57008,95,,,,,,
,,,,,29720,-96.45242,84,,,,,,
,,,,,29832,-160.61223,112,,,,,,
,,,,,29975,-93.92999,143,,,,,,
-148.80734,80.01965,-63.734665,-329.31073,859.3,30000,,,8.487253189086914,-7.65187406539917,-8.217874526977539,25.529842376708984,0.82,0.003
,,,,,30066,-152.16556,91,,,,,,
,,,,,30199,-75.04696,133,,,,,,
,,,,,30360,-194.46814,161,,,,,,
,,,,,30452,-97.37874,92,,,,,,
,,,,,30566,-119.8048,114,,,,,,
,,,,,30689,-89.66307,123,,,,,,
,,,,,30806,-97.64026,117,,,,,,
,,,,,30881,-61.76436,75,,,,,,
,,,,,31000,,,13.969417572021484,-7.154463768005371,-7.42208194732666,38.814945220947266,0.8140000000000001,0.003
,,,,,31017,-191.6715,136,,,,,,
,,,,,31132,-130.0153,115,,,,,,
,,,,,31236,-106.589424,104,,,,,,
,,,,,31330,-102.947716,94,,,,,,
,,,,,31437,-97.581406,107,,,,,,
,,,,,31553,-118.386635,116,,,,,,
,,,,,31644,-100.837,91,,,,,,
,,,,,31729,-98.818954,85,,,,,,
,,,,,31829,-94.20267,100,,,,,,
,,,,,31916,-34.644897,87,,,,,,
,,,,,31978,-117.93408,62,,,,,,
,,,,,32000,,,9.538277626037598,-2.468754291534424,-2.328011989593506,48.187870025634766,0.808,0.003
,,,,,32078,-167.09064,100,,,,,,
,,,,,32174,-136.79938,96,,,,,,
,,,,,32294,-134.5588,120,,,,,,
,,,,,32404,-70.21949,110,,,,,,
,,,,,32534,-37.860348,130,,,,,,
,,,,,32638,-103.05863,104,,,,,,
,,,,,32710,-99.956696,72,,,,,,
,,,,,32806,-95.5336,96,,,,,,
,,,,,32887,-82.70416,81,,,,,,
,,,,,32994,-66.97383,107,,,,,,
,,,,,33000,,,22.84832763671875,-5.5237908363342285,-6.233283042907715,47.32756805419922,0.802,0.003
,,,,,33123,-132.94589,129,,,,,,
,,,,,33210,-79.64041,87,,,,,,
,,,,,33355,-27.098091,145,,,,,,
,,,,,33426,-31.462334,71,,,,,,
,,,,,33543,-146.94267,117,,,,,,
,,,,,33624,-84.253586,81,,,,,,
,,,,,33698,-177.79575,74,,,,,,
,,,,,33835,-125.75737,137,,,,,,
,,,,,34000,,,7.289047718048096,9.512219429016113,9.038630485534668,24.557836532592773,0.796,0.003
,,,,,34006,-280.71405,171,,,,,,
,,,,,34104,-114.47034,98,,,,,,
,,,,,34206,-81.58252,102,,,,,,
,,,,,34284,17.215332,78,,,,,,
,,,,,34446,-64.123955,162,,,,,,
,,,,,34548,-87.217865,102,,,,,,
,,,,,34626,-67.12418,78,,,,,,
,,,,,34732,-89.589615,106,,,,,,
,,,,,34817,-48.77169,85,,,,,,
,,,,,34911,-100.77555,94,,,,,,
,,,,,35000,,,99.22735595703125,-7.0850725173950195,-5.993197441101074,91.28496551513672,0.79,0.003
,,,,,35002,-148.8079,91,,,,,,
,,,,,35092,-72.265114,90,,,,,,
,,,,,35208,-107.93653,116,,,,,,
,,,,,35291,-118.50445,83,,,,,,
,,,,,35429,-161.17798,138,,,,,,
,,,,,35531,-50.812813,102,,,,,,
,,,,,35648,-92.94125,117,,,,,,
,,,,,35721,-75.291664,73,,,,,,
,,,,,35845,4.3611526,124,,,,,,
,,,,,35915,-54.84761,70,,,,,,
,,,,,35990,-34.99185,75,,,,,,
,,,,,36000,,,2.705214262008667,2.6231305599212646,2.362900733947754,15.402178764343262,0.784,0.003
,,,,,36062,-80.789665,72,,,,,,
,,,,,36177,-189.99994,115,,,,,,
,,,,,36293,-65.43941,116,,,,,,
,,,,,36360,-99.4803,67,,,,,,
,,,,,36434,-57.627525,74,,,,,,
,,,,,36542,-78.84147,108,,,,,,
,,,,,36674,-29.539886,132,,,,,,
,,,,,36800,-112.377914,126,,,,,,
,,,,,36902,-88.99023,102,,,,,,
,,,,,36992,-130.45189,90,,,,,,
,,,,,37000,,,21.250890731811523,3.7752296924591064,4.431249141693115,44.72011184692383,0.778,0.003
,,,,,37110,-87.32856,118,,,,,,
,,,,,37226,-48.914635,116,,,,,,
,,,,,37318,-58.365086,92,,,,,,
,,,,,37396,-72.317245,78,,,,,,
,,,,,37489,-62.285217,93,,,,,,
,,,,,37587,-330.2436,98,,,,,,
,,,,,37671,23.98732,84,,,,,,
,,,,,37771,-95.08477,100,,,,,,
,,,,,37886,-81.83988,115,,,,,,
,,,,,37959,-28.007195,73,,,,,,
